timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/09 23:29:30.195, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.35
2025/03/09 23:29:30.196, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.46
2025/03/09 23:29:31.197, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.72
2025/03/09 23:29:31.198, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.28
2025/03/09 23:29:31.199, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.00
2025/03/09 23:29:31.200, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.37
2025/03/09 23:29:31.201, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.47
2025/03/09 23:29:31.202, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.10
2025/03/09 23:29:31.203, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.51
2025/03/09 23:29:31.204, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.31
2025/03/09 23:29:32.206, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.75
2025/03/09 23:29:32.207, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.27
2025/03/09 23:29:32.208, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.82
2025/03/09 23:29:32.209, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.40
2025/03/09 23:29:32.210, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:32.211, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.07
2025/03/09 23:29:32.212, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.40
2025/03/09 23:29:32.213, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.32
2025/03/09 23:29:33.214, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.80
2025/03/09 23:29:33.216, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.34
2025/03/09 23:29:33.217, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.74
2025/03/09 23:29:33.217, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.39
2025/03/09 23:29:33.218, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.53
2025/03/09 23:29:33.219, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.09
2025/03/09 23:29:33.220, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.25
2025/03/09 23:29:33.222, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.42
2025/03/09 23:29:34.223, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.82
2025/03/09 23:29:34.224, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.44
2025/03/09 23:29:34.225, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.75
2025/03/09 23:29:34.226, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.50
